사업장명,도로명전체주소,위생업태명,영업장주변구분명,시설총규모,위도,경도
시애틀가요주점,대전광역시 유성구 온천서로 8-18 (봉명동),기타,유흥업소밀집지역,102.34,36.3573221,127.3394849
다낭클럽,"대전광역시 서구 둔산로65번길 25, 지하1층 (둔산동)",룸살롱,,99.1,36.3509036,127.3811509
홍,"대전광역시 유성구 온천서로 22, 지하1,2층 (봉명동)",기타,,107.63,36.3573221,127.3394849
여궁,"대전광역시 유성구 온천서로 30, 3층 (봉명동)",카바레,,249.97,36.3570215,127.3399155
비너스술마시는노래마당,"대전광역시 대덕구 신탄진동로23번길 73, 지하층 (신탄진동)",룸살롱,,160.26,36.4494771,127.4315036
궁녀,"대전광역시 유성구 온천서로 30, 지하1층 (봉명동)",기타,,260.99,36.3570215,127.3399155
버디,"대전광역시 유성구 온천서로 30, 지상4층 (봉명동)",카바레,,98.12,36.3570215,127.3399155
벤틀리,"대전광역시 유성구 온천서로 30, 2층 (봉명동)",기타,유흥업소밀집지역,244.82,36.3570215,127.3399155
시크릿,"대전광역시 서구 둔산중로40번길 31 (둔산동,지하1층)",룸살롱,,295.16,36.3501304,127.3868726
세븐,"대전광역시 유성구 온천서로 8-22, 지하1층 (봉명동)",기타,유흥업소밀집지역,117.42,36.3573221,127.3394849
팜스,"대전광역시 유성구 계룡로141번길 13-17, 지하1층 (봉명동)",룸살롱,,267.17,36.3538733,127.346488
뉴스가요주점,"대전광역시 대덕구 신탄진동로7번길 63, 지하층 (신탄진동)",룸살롱,,149.34,36.449223,127.4299318
별밤7080,"대전광역시 대덕구 신탄진동로7번안길 9-7, 2층 (신탄진동)",노래클럽,,164.23,36.4508584,127.4311369
청사,대전광역시 서구 월평북로 88-10 (월평동),룸살롱,,207.34,36.3611899,127.3781874
골드,대전광역시 서구 둔산로137번길 32 (둔산동),룸살롱,,147.56,36.3524374,127.3892586
뉴욕술노래클럽,"대전광역시 유성구 계룡로123번길 27, 지하1층 (봉명동)",룸살롱,유흥업소밀집지역,101.03,36.3549374,127.3450624
