사업장명,도로명전체주소,위생업태명,양실수,한실수,위도,경도
하니파크,대전광역시 동구 동서대로1683번길 50-15 (용전동),여관업,31,1,36.3524766,127.435556
송암파크,대전광역시 유성구 계룡로87번길 66 (봉명동),여관업,10,21,36.3557237,127.3411667
오룡하우스,"대전광역시 중구 어덕마을로10번길 95-4, 3~5층 (용두동)",숙박업(생활),13,0,36.329923,127.4044402
초원장,대전광역시 동구 역전1길 39 (정동),여관업,8,6,36.3335646,127.4321236
저스트스테이호텔 신탄진역점,대전광역시 대덕구 신탄진동로23번길 60 (신탄진동),여관업,14,14,36.4494771,127.4315036
엑스와이엠,대전광역시 동구 한밭대로1314번길 5 (용전동),여관업,33,5,36.3518336,127.4387232
제이에이치레전드호텔,대전광역시 유성구 계룡로141번길 21 (봉명동),관광호텔,51,24,36.3538733,127.346488
해명장,대전광역시 유성구 유성대로730번길 110 (장대동),여관업,8,6,36.3579356,127.3334947
타임터미널 호텔 대전용전2호점,대전광역시 동구 동서대로1683번길 76-9 (용전동),여관업,37,0,36.3524766,127.435556
베네치아,대전광역시 중구 유등천동로 326-8 (산성동),여관업,12,3,36.307534,127.3847183
서울파크,대전광역시 동구 한밭대로1316번길 20 (용전동),여관업,10,7,36.3515188,127.439411
한양모텔,대전광역시 대덕구 중리로7번길 14-20 (중리동),여관업,22,6,36.3597079,127.4230059
해피타워,대전광역시 동구 동서대로1725번길 22 (용전동),여관업,30,2,36.3531075,127.4384564
대전하늘정원,대전광역시 중구 보문로230번길 40 (대흥동),숙박업(생활),24,0,36.3240514,127.4254896
노크인호텔 대전터미널점,대전광역시 동구 한밭대로1316번길 35 (용전동),일반호텔,36,0,36.3515188,127.439411
홍인파크,대전광역시 중구 계백로1550번길 36 (유천동),여관업,15,2,36.3125449,127.393979
스카이모텔,대전광역시 중구 중앙로16번길 28 (문화동),여관업,14,4,36.3209399,127.4147483
세르보,대전광역시 유성구 계룡로155번길 14 (봉명동),여관업,21,10,36.353228,127.3479079
서울온천모텔,"대전광역시 유성구 문화원로6번길 113, 서울온천모텔 (장대동)",여관업,20,10,36.3590996,127.3374952
올림픽파크,대전광역시 중구 문창로90번길 29 (문창동),여관업,16,2,36.321847,127.4342998
호텔노크온(Knock on Hotel),대전광역시 중구 인창로 7 (대흥동),여관업,33,0,36.3224159,127.4316699
백제장여관,대전광역시 중구 문창로90번길 31 (문창동),여관업,17,0,36.321847,127.4342998
샘모텔,대전광역시 유성구 계룡로155번길 10 (봉명동),여관업,20,10,36.353228,127.3479079
큐피트모텔,대전광역시 유성구 계룡로155번길 32 (봉명동),여관업,17,10,36.353228,127.3479079
호텔 벤,대전광역시 동구 동서대로1705번길 21 (용전동),여관업,29,3,36.3506668,127.4385353
로미오모텔,대전광역시 중구 유천로17번안길 50-9 (유천동),여관업,19,0,36.3147438,127.3921103
만년장파크,대전광역시 동구 한밭대로1314번길 25 (용전동),여관업,26,6,36.3518336,127.4387232
아리아파크,대전광역시 대덕구 신탄진동로7번길 39 (신탄진동),여관업,16,2,36.449223,127.4299318
봉황모텔,대전광역시 동구 동서대로1683번길 46-13 (용전동),여관업,27,3,36.3524766,127.435556
보람장여관,대전광역시 중구 문창로98번길 15 (문창동),여관업,17,0,36.3220955,127.4331035
호텔박스,대전광역시 동구 한밭대로1316번길 34 (용전동),여관업,28,4,36.3515188,127.439411
해와달모텔,대전광역시 대덕구 신탄진동로23번길 73 (신탄진동),여관업,18,9,36.4494771,127.4315036
장미파크,대전광역시 중구 문창로 101-22 (대흥동),여관업,13,0,36.3160659,127.4338853
23번가,대전광역시 대덕구 신탄진동로23번길 69 (신탄진동),여관업,8,9,36.4494771,127.4315036
동화장여관,대전광역시 중구 인창로28번길 3 (문창동),여관업,12,0,36.3217835,127.4332814
행복장여관,대전광역시 대덕구 신탄진동로7번길 45 (신탄진동),여관업,12,10,36.449223,127.4299318
큐모텔,대전광역시 중구 계룡로874번길 103 (오류동),여관업,21,1,36.3225473,127.4080303
아리장여관,대전광역시 중구 문창로94번길 37 (문창동),여관업,17,0,36.3217835,127.4332814
서울파크,대전광역시 대덕구 신탄진로810번길 41 (신탄진동),여관업,14,5,36.4504391,127.4327313
